ID,BRANCH,ADDRESS,CITY,POSTCODE,PHONE,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,LATITUDE,LONGITUDE,LINK,NYU 
1,Rosedale,144-20 243 Street,Rosedale,11422,(718) 528-8490,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.660152,-73.739488,https://queenslibrary.org/about-us/locations/rosedale,0
2,Bayside,214-20 Northern Boulevard,Bayside,11361,(718) 229-1834,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.760363,-73.768588,https://www.queenslibrary.org/about-us/locations/bayside,0
3,Central Library- The Archives,89-11 Merrick Boulevard,Jamaica,11432,(718) 990-0700,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,40.707865,-73.795295,,0
4,Hollis,202-05 Hillside Avenue,Hollis,11423,(718) 465-7355,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.719914,-73.762191,https://www.queenslibrary.org/about-us/locations/hollis,0
5,Queens Library for Teens,2002 Cornaga Ave,Far Rockaway,11691,(718) 471-2573,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM, , ,,,https://www.queenslibrary.org/about-us/locations/far-rockaway-teen,0
6,Douglaston/Little Neck,249-01 Northern Boulevard,Little Neck,11363,(718) 225-8414,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.76795,-73.738088,https://www.queenslibrary.org/about-us/locations/douglaston,0
7,Queensboro Hill,60-05 Main Street,Flushing,11355,(718) 359-8332,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.743081,-73.825526,https://www.queenslibrary.org/about-us/locations/queensboro-hill,0
8,Howard Beach,92-06 156 Avenue, Howard Beach,11414,(718) 641-7086,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.664069,-73.841928,https://www.queenslibrary.org/about-us/locations/howard-beach,0
9,South Jamaica,108-41 Guy R. Brewer Boulevard,Jamaica,11433,(718) 739-4088,10:00 AM - 5:00 PM, , , , , , ,40.695879,-73.790734,https://www.queenslibrary.org/about-us/locations/south-jamaica,0
10,Long Island City,37-44 21 Street,Long Island City,11101,(718) 752-3700,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM, ,40.757826,-73.938771,https://www.queenslibrary.org/about-us/locations/long-island-city,0
